"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","30,435,736","±9,483","(X)","(X)","15,581,223","±6,310","(X)","(X)","14,854,513","±5,867","(X)","(X)"
"        Less than high school graduate","3,701,839","±16,881","12.2%","±0.1","2,160,758","±11,746","13.9%","±0.1","1,541,081","±10,924","10.4%","±0.1"
"        High school graduate (includes equivalency)","9,773,642","±23,546","32.1%","±0.1","5,509,025","±16,529","35.4%","±0.1","4,264,617","±14,365","28.7%","±0.1"
"        Some college or associate's degree","13,368,543","±29,759","43.9%","±0.1","6,401,668","±18,980","41.1%","±0.1","6,966,875","±17,496","46.9%","±0.1"
"        Bachelor's degree or higher","3,591,712","±22,828","11.8%","±0.1","1,509,772","±13,046","9.7%","±0.1","2,081,940","±14,982","14.0%","±0.1"
"    Population 25 years and over","222,836,834","±11,173","(X)","(X)","107,780,553","±7,857","(X)","(X)","115,056,281","±7,768","(X)","(X)"
"        Less than 9th grade","10,923,030","±63,975","4.9%","±0.1","5,445,353","±33,256","5.1%","±0.1","5,477,677","±34,385","4.8%","±0.1"
"        9th to 12th grade, no diploma","14,639,650","±71,503","6.6%","±0.1","7,695,689","±37,519","7.1%","±0.1","6,943,961","±39,526","6.0%","±0.1"
"        High school graduate (includes equivalency)","59,421,419","±209,875","26.7%","±0.1","29,933,197","±116,811","27.8%","±0.1","29,488,222","±99,037","25.6%","±0.1"
"        Some college, no degree","45,242,162","±53,820","20.3%","±0.1","21,701,126","±34,817","20.1%","±0.1","23,541,036","±40,158","20.5%","±0.1"
"        Associate's degree","19,254,254","±47,639","8.6%","±0.1","8,318,428","±29,296","7.7%","±0.1","10,935,826","±29,226","9.5%","±0.1"
"        Bachelor's degree","45,034,610","±151,306","20.2%","±0.1","21,334,128","±77,785","19.8%","±0.1","23,700,482","±78,671","20.6%","±0.1"
"        Graduate or professional degree","28,321,709","±175,230","12.7%","±0.1","13,352,632","±85,253","12.4%","±0.1","14,969,077","±93,541","13.0%","±0.1"
"        High school graduate or higher","197,274,154","±137,709","88.5%","±0.1","94,639,511","±69,323","87.8%","±0.1","102,634,643","±72,950","89.2%","±0.1"
"        Bachelor's degree or higher","73,356,319","±317,619","32.9%","±0.1","34,686,760","±156,443","32.2%","±0.1","38,669,559","±164,719","33.6%","±0.1"
"    Population 25 to 34 years","45,485,165","±8,344","(X)","(X)","23,075,008","±6,495","(X)","(X)","22,410,157","±5,491","(X)","(X)"
"        High school graduate or higher","41,617,051","±33,658","91.5%","±0.1","20,814,698","±19,241","90.2%","±0.1","20,802,353","±18,327","92.8%","±0.1"
"        Bachelor's degree or higher","16,640,806","±95,939","36.6%","±0.2","7,497,966","±44,382","32.5%","±0.2","9,142,840","±53,745","40.8%","±0.2"
"    Population 35 to 44 years","41,346,677","±9,849","(X)","(X)","20,624,884","±6,707","(X)","(X)","20,721,793","±5,336","(X)","(X)"
